"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"MOBS-GLEAM_FLUH","15",0.738257341770039,6.00807065217391,0.8,8.5,0.1875,0.75,16
"MOBS-GLEAM_FLUH","16",0.718075629223321,61.6991666666667,0.727388553667795,72.4166666666667,0.25,0.5,12
"MOBS-GLEAM_FLUH","17",0.584322433828988,211.057971014493,0.706709853447192,298,0.0833333333333333,0.25,12
"MOBS-GLEAM_FLUH","18",0.615350107885705,151.187391304348,0.646853908121054,185.6875,0.1875,0.75,16
"MOBS-GLEAM_FLUH","19",0.581081559440502,44.1609510869565,0.601524601524602,54.25,0.375,0.75,16
"MOBS-GLEAM_FLUH","20",0.664547058457414,61.5561594202899,0.710180093358494,78.9166666666667,0.166666666666667,0.666666666666667,12
"MOBS-GLEAM_FLUH","21",0.272283616546883,60.6979891304348,0.385731857318573,98,0.3125,0.9375,16
"MOBS-GLEAM_FLUH","22",0.913871745223119,67.0759510869565,0.973790322580645,90.5625,0.25,0.75,16
"MOBS-GLEAM_FLUH","23",0.630639690000273,34.241884057971,0.713932031503547,46.8333333333333,0.0833333333333333,0.75,12
"MOBS-GLEAM_FLUH","24",0.476687720221449,38.203722826087,0.574969021065675,58,0.25,0.6875,16
"MOBS-GLEAM_FLUH","25",0.560858727735115,128.555579710145,0.597621458200106,161.166666666667,0.25,0.666666666666667,12
"MOBS-GLEAM_FLUH","26",0.488799593701215,171.385905797101,0.619825776010455,249.5,0,0.416666666666667,12
"MOBS-GLEAM_FLUH","27",0.446659147470901,37.2789130434783,0.540766777976597,59.1666666666667,0.416666666666667,0.833333333333333,12
"MOBS-GLEAM_FLUH","28",0.991331363085106,47.3344293478261,1.19639278557114,74.625,0.25,0.75,16
"MOBS-GLEAM_FLUH","29",0.580919644748818,183.104456521739,0.617059092488686,226.083333333333,0.166666666666667,0.666666666666667,12
"MOBS-GLEAM_FLUH","30",0.662109911468031,23.8935869565217,0.714546369999541,32.3333333333333,0.25,0.583333333333333,12
"MOBS-GLEAM_FLUH","31",0.653031329710786,20.5577989130435,0.614457831325301,25.5,0.5,0.6875,16
"MOBS-GLEAM_FLUH","32",0.344898539708015,48.8286594202899,0.416992846328922,71,0.0833333333333333,0.583333333333333,12
"MOBS-GLEAM_FLUH","33",0.436662088587897,26.3508152173913,0.584126497850767,41,0,0.5,8
"MOBS-GLEAM_FLUH","34",0.308983023437669,62.6928623188406,0.389103414116468,98.5833333333333,0.583333333333333,0.916666666666667,12
"MOBS-GLEAM_FLUH","35",0.481037215656019,40.1036413043478,0.556291390728477,57.75,0.375,0.8125,16
"MOBS-GLEAM_FLUH","36",0.534239816859154,265.025615942029,0.647799333625981,371.083333333333,0.0833333333333333,0.666666666666667,12
"MOBS-GLEAM_FLUH","37",0.625449523573616,55.8726449275362,0.670873380803702,87.8333333333333,0.25,0.833333333333333,12
"MOBS-GLEAM_FLUH","38",0.5825497609309,9.2073097826087,0.576470588235294,12.25,0.4375,0.75,16
"MOBS-GLEAM_FLUH","39",0.391151156183296,113.178115942029,0.512966968684832,177.916666666667,0.25,0.916666666666667,12
"MOBS-GLEAM_FLUH","40",0.772311841074635,166.869809782609,0.750060664887163,193.1875,0.25,0.5625,16
"MOBS-GLEAM_FLUH","41",0.60042441572117,134.703695652174,0.595556386408321,150,0.166666666666667,0.666666666666667,12
"MOBS-GLEAM_FLUH","42",0.373339824568854,117.300298913043,0.492060810810811,182.0625,0.3125,0.875,16
"MOBS-GLEAM_FLUH","44",0.708760421263497,10.5332971014493,0.782611898873886,14.3333333333333,0.25,0.5,12
"MOBS-GLEAM_FLUH","45",0.502208697094,30.2882065217391,0.679054054054054,50.25,0.375,0.9375,16
"MOBS-GLEAM_FLUH","46",0.990128208512201,22.4254891304348,0.9447983014862,27.8125,0.25,0.625,16
"MOBS-GLEAM_FLUH","47",0.63438148673778,86.1202173913044,0.813248502994012,135.8125,0.1875,0.6875,16
"MOBS-GLEAM_FLUH","48",0.687287875455887,343.272690217391,0.779399671052632,473.875,0.375,0.8125,16
"MOBS-GLEAM_FLUH","49",0.874081789996883,14.4795923913043,0.932773109243698,20.8125,0.125,0.625,16
"MOBS-GLEAM_FLUH","50",0.518423906901532,6.4536231884058,0.604763909848035,10,0.5,0.75,12
"MOBS-GLEAM_FLUH","51",0.527913684762635,38.2640217391304,0.602324837738992,60,0.583333333333333,0.916666666666667,12
"MOBS-GLEAM_FLUH","53",0.759818994889572,184.740326086957,0.801838667819177,220.166666666667,0.25,0.583333333333333,12
"MOBS-GLEAM_FLUH","54",0.497705694115164,35.8820108695652,0.545706371191136,49.25,0.4375,0.75,16
