"model_id","location","log_score","n"
"PSI-DICE","13",0.888204805664461,16
"PSI-DICE","15",0.370857807006126,16
"PSI-DICE","16",Inf,16
"PSI-DICE","17",Inf,16
"PSI-DICE","18",Inf,16
"PSI-DICE","19",Inf,16
"PSI-DICE","20",Inf,16
"PSI-DICE","21",1.95150973805323,16
"PSI-DICE","22",1.48521657526256,16
"PSI-DICE","23",Inf,16
"PSI-DICE","24",3.97316187533301,16
"PSI-DICE","25",Inf,16
"PSI-DICE","26",Inf,16
"PSI-DICE","27",Inf,16
"PSI-DICE","28",0.989078470186404,16
"PSI-DICE","29",1.61405939008868,16
"PSI-DICE","30",3.61338577204892,16
"PSI-DICE","31",2.42801297319711,16
"PSI-DICE","32",4.59429483580511,16
"PSI-DICE","33",Inf,16
"PSI-DICE","34",4.79049738458269,16
"PSI-DICE","35",1.59730140123696,16
"PSI-DICE","36",Inf,16
"PSI-DICE","37",Inf,16
"PSI-DICE","38",3.51730579999959,16
"PSI-DICE","39",Inf,16
"PSI-DICE","40",Inf,16
"PSI-DICE","41",6.30254211769944,16
"PSI-DICE","42",Inf,16
"PSI-DICE","44",0.794638289127698,16
"PSI-DICE","45",1.1992886924341,16
"PSI-DICE","46",Inf,16
"PSI-DICE","47",2.94849770952245,16
"PSI-DICE","48",4.24936359150581,16
"PSI-DICE","49",0.215317963465064,16
"PSI-DICE","50",Inf,16
"PSI-DICE","51",3.0055444610438,16
"PSI-DICE","53",Inf,16
"PSI-DICE","54",2.52228816812019,16
"PSI-DICE","55",Inf,16
"PSI-DICE","56",Inf,16
"PSI-DICE","72",1.12118814133625,16
"PSI-DICE","US",4.50457367265325,16
